基金代码,degree,betweenness,closeness,eigenvector
MMPFPZ,0.8325123152709359,0.00030992189627340196,0.8565400843881856,0.03355518402702921
MMMMIU,0.6463054187192118,0.00012793370764821048,0.7387190684133915,0.026600090017754614
MMMMAI,0.8088669950738916,0.0001521786979542408,0.8395368072787428,0.03367159401052795
MMMUUS,0.9024630541871921,0.0002971780239883917,0.9111310592459605,0.036612405681493064
MMMUXD,0.7763546798029556,0.00018596621047355116,0.8172302737520128,0.031848587037259554
MMMUXS,0.8788177339901477,0.0002835880641229414,0.8919156414762741,0.03575797908015169
MMMUID,0.9064039408866994,0.0003544554382570039,0.9144144144144144,0.03649674114221769
MMMXMZ,0.6876847290640393,0.00012389233743048884,0.762012012012012,0.02853291137777325
MMMXUZ,0.8689655172413793,0.00034422750328571135,0.8841463414634146,0.03493361467228171
MMMIMZ,0.8472906403940886,0.00027727166751713304,0.8675213675213675,0.03434968517830843
MMMIID,0.6492610837438423,0.0001303719040732206,0.7403355215171408,0.02686572571315911
MMMIFP,0.49556650246305417,0.00011338242451785856,0.664702030124427,0.01975941608204366
MMMPMP,0.8167487684729063,0.00027488301024615117,0.8451290591174022,0.03305570119008089
MMMPMZ,0.7487684729064039,0.00013398272852158777,0.7992125984251969,0.031182077038678355
MMMPXI,0.786206896551724,0.00023219592507496694,0.8238636363636364,0.032130962471496355
MMMPSS,0.8788177339901477,0.00025971245999554924,0.8919156414762741,0.03585992249569946
MMMPZD,0.6709359605911329,0.00011821445912285726,0.7524091919940696,0.027925840949105996
MMMFXX,0.46009852216748764,6.710884458921879e-05,0.6493921944977608,0.01876603356884066
MMMFXI,0.644334975369458,0.00010806115132908585,0.7376453488372093,0.02687496667472527
MMMFXZ,0.8600985221674876,0.00024536345679954504,0.8772687986171133,0.0351739523902626
MMMFIM,0.8679802955665024,0.00027406658044701836,0.8833768494342907,0.035298922091397386
MMMFIU,0.8945812807881772,0.00037662346026167906,0.9046345811051694,0.03590910810963483
MMMFIP,0.9024630541871921,0.0003773990108373077,0.9111310592459605,0.036138677520622164
MMMFIA,0.889655172413793,0.00040303627838152373,0.9006211180124224,0.0356069373767849
MMMFPF,0.7438423645320197,0.000190366697830383,0.796078431372549,0.030424531910043615
MMMFFM,0.8955665024630541,0.0002803762470491692,0.9054415700267618,0.03642356581690079
MMMFFP,0.9241379310344827,0.0005437437081591805,0.9294871794871795,0.03630264124426762
MMMFSS,0.9083743842364531,0.00038952179261042823,0.9160649819494585,0.03648145924627718
MMMFAD,0.35763546798029555,5.4556016599740826e-05,0.608878224355129,0.014238932482336944
MMMFZA,0.9073891625615763,0.00042197391005776365,0.915238954012624,0.03614942088485226
MMMDMI,0.8413793103448275,0.00026455822174818245,0.8630952380952381,0.03436014712515786
MMMDDI,0.6945812807881773,0.00016591213709908896,0.7660377358490567,0.028595021686812626
MMMDAZ,0.651231527093596,0.0001342592230039607,0.7414170927684441,0.02685689999502269
MMMDZD,0.6472906403940886,8.084065839182273e-05,0.7392571012381646,0.027230889178196525
MMMDZA,0.7497536945812807,0.00017562141358366232,0.7998423955870765,0.030847081738186427
MMMSUS,0.6305418719211822,0.00020887067958875379,0.7302158273381295,0.025134484833914093
MMMSXS,0.522167487684729,4.7389544035857125e-05,0.6766666666666666,0.021978223661319175
MMMSPX,0.9182266009852216,0.00042473824620519303,0.924408014571949,0.03667985224416699
MMMSPD,0.9083743842364531,0.00037020399465815466,0.9160649819494585,0.03647187714417169
MMMSFF,0.8669950738916256,0.00033191121468259825,0.8826086956521739,0.0349403228296792
MMMSDS,0.683743842364532,0.00027130171509722123,0.7597305389221557,0.026820605082236208
MMMSZP,0.7625615763546797,0.00026332719870901614,0.8081210191082803,0.030889497261567266
MMMAMI,0.7881773399014778,0.0003187374871761454,0.8252032520325203,0.03151340197883238
MMMAXI,0.8364532019704433,0.000309809042201267,0.859441151566469,0.03374313057127579
MMMAXP,0.9014778325123152,0.0003773510126706294,0.9103139013452914,0.036208278257306936
MMMAFP,0.8758620689655172,0.00027495574593229793,0.8895705521472392,0.03566231521055937
MMMAAP,0.9527093596059113,0.0004950916354741824,0.9548447789275635,0.03772579344978875
MMMAZX,0.8492610837438423,0.00042480401502395596,0.8690068493150684,0.03358665766827559
MMMZXP,0.8039408866995074,0.00028453398352674866,0.8360790774299836,0.03237568237865643
MMMZSU,0.7842364532019703,0.0001925573852637255,0.8225283630470016,0.032251622837880474
MMMZAD,0.9123152709359605,0.0003837479537154591,0.9193840579710145,0.03669311872478034
MMMZZU,0.6167487684729064,0.0002003213476637984,0.7229344729344729,0.0245905247680599
MMMZZI,0.9192118226600985,0.0003449354513314444,0.9252506836827712,0.03703413801343811
MMMZZP,0.9014778325123152,0.0003448546877839642,0.9103139013452914,0.03629702043188014
MMMZZD,0.8975369458128079,0.00032178664475272475,0.9070598748882931,0.036204482569651385
MMUMMM,0.8630541871921181,0.00023276005212530127,0.8795493934142115,0.03540132726018097
MMUMIZ,0.741871921182266,0.00018840148467168607,0.7948316366483946,0.030484176126649304
MMUMPM,0.5911330049261083,9.344279066390272e-05,0.7097902097902098,0.02449060231401662
MMUMPS,0.9201970443349753,0.0004645846135854768,0.926094890510949,0.03663938699643246
MMUMDZ,0.8995073891625615,0.00032481602846962153,0.9086839749328559,0.03635363105396944
MMUUMX,0.883743842364532,0.00027403450806598207,0.8958517210944396,0.0360100879933428
MMUUMI,0.7960591133004925,0.0002664739529966954,0.8306055646481179,0.03217352876384134
MMUUMP,0.8935960591133004,0.00032890657563484097,0.9038290293855743,0.036106285471116766
MMUUXD,0.9507389162561576,0.0004591854582530597,0.9530516431924883,0.037750951311437436
MMUUPM,0.8167487684729063,0.0003072536191110015,0.8451290591174022,0.033022171961947316
MMUUFP,0.9645320197044335,0.0005526311052752635,0.9657469077069457,0.03804444799721382
MMUUFD,0.6600985221674877,0.00010000961465225975,0.7463235294117647,0.027619448481555134
MMUUDX,0.8778325123152708,0.0003959026755566584,0.8911325724319579,0.03510216259371884
MMUUDI,0.8906403940886699,0.00031966657502807385,0.9014209591474245,0.036026587341390026
MMUUDD,0.6778325123152709,0.00012465438249949782,0.7563338301043219,0.02816037432306582
MMUUSM,0.8492610837438423,0.0002491075783054516,0.8690068493150684,0.034598762897883745
MMUUSI,0.9320197044334975,0.0005055474794376384,0.9363468634686347,0.03691592143200005
MMUUZA,0.7783251231527093,0.00027558102341340777,0.8185483870967742,0.031320733357540965
MMUXUM,0.7615763546798029,0.00021448473327815185,0.807478122513922,0.031027498846601564
MMUXUF,0.9566502463054186,0.0005264086825493312,0.9584513692162417,0.03777560925045016
MMUXUA,0.8463054187192117,0.00026861171526272343,0.8667805294619982,0.034381234989932126
MMUXXM,0.9359605911330049,0.00044203255852240516,0.9398148148148148,0.037306939706745576
MMUXXI,0.8600985221674876,0.000271897585302428,0.8772687986171133,0.03492222854371925
MMUXXF,0.8719211822660098,0.000307660829552143,0.8864628820960698,0.035202479381171256
MMUXIZ,0.8354679802955665,0.00033305364179228147,0.8587140439932318,0.03361973031502782
MMUXFX,0.8699507389162561,0.0004291562456048451,0.8849171752397559,0.0347151447272318
MMUXDU,0.851231527093596,0.0003336201967071513,0.8704974271012007,0.03434994492249001
MMUXDS,0.864039408866995,0.00031619084862196924,0.8803122289679098,0.034829120349488436
MMUXDA,0.8689655172413793,0.0003255932461158053,0.8841463414634146,0.03524749822124351
MMUXSX,0.889655172413793,0.00037990012478916253,0.9006211180124224,0.03564556184910067
MMUXSD,0.9201970443349753,0.00046938429821976897,0.926094890510949,0.036461443455848515
MMUXSA,0.7467980295566502,0.0001723189129676466,0.7979559748427673,0.030953015679440546
MMUXSZ,0.6788177339901478,0.00015404688850980018,0.7568978374347501,0.027855713804932982
MMUXAS,0.8965517241379309,0.0003728388605854002,0.90625,0.03594023987527391
MMUXZA,0.7280788177339901,0.0001654570481594147,0.7862122385747483,0.02987364849246841
MMUIMF,0.7172413793103448,0.0002665334926160355,0.7795698924731183,0.028541477067480385
MMUIMD,0.8955665024630541,0.00037767155854875916,0.9054415700267618,0.03582824881807951
MMUIUI,0.929064039408867,0.0003725917089519054,0.9337626494940202,0.03728621308510565
MMUIUZ,0.7724137931034483,0.00021339198454050563,0.8146067415730337,0.031543493604695556
MMUIXX,0.8689655172413793,0.000342071790578096,0.8841463414634146,0.034959043535080774
MMUIXI,0.7694581280788176,0.0002512815776966675,0.8126501200960768,0.03108788065409038
MMUIIZ,0.8926108374384236,0.0003924524541592585,0.9030249110320284,0.03578510986125898
MMUIZD,0.8876847290640394,0.00032787507832645387,0.8990256864481843,0.03583917539026335
MMUIZA,0.8955665024630541,0.0003623577768929133,0.9054415700267618,0.03610568181792878
MMUPMP,0.5694581280788177,8.526857230719908e-05,0.6990358126721763,0.023528436432575968
MMUPUI,0.9142857142857143,0.00034632315228850364,0.9210526315789473,0.03683894737778603
MMUPIS,0.6916256157635468,0.00017527108023996583,0.7643072289156626,0.028173729443601435
MMUPDI,0.9467980295566502,0.0005227720022716702,0.9494855004677268,0.03747508740660864
MMUPSI,0.8600985221674876,0.00023689509972172422,0.8772687986171133,0.03522253417298743
MMUPSF,0.29556650246305416,3.196143765169085e-05,0.5867052023121387,0.011630135184856763
MMUPSZ,0.7527093596059112,0.0002934830662884504,0.80173775671406,0.03010656818099416
MMUFXM,0.9310344827586207,0.00041350916747805297,0.9354838709677419,0.03717177009300378
MMUFIA,0.9566502463054186,0.0004786962895139052,0.9584513692162417,0.037909760669020624
MMUFPM,0.8571428571428571,0.00026968722182642947,0.875,0.03485199396240874
MMUFPX,0.9182266009852216,0.00042473824620519303,0.924408014571949,0.03667985224416699
MMUFPI,0.7014778325123152,0.00014209380195355847,0.7701062215477997,0.029202254380517396
MMUFSP,0.8246305418719211,0.00027662382598585923,0.8507963118189439,0.03343171129825023
MMUFSD,0.8236453201970443,0.0002386486833788327,0.8500837520938024,0.03362561052359839
MMUDMP,0.9054187192118226,0.00034314800847129494,0.9135913591359136,0.0364510047055269
MMUDMD,0.6403940886699507,0.00012619072043715116,0.7355072463768116,0.02653280177798901
MMUDUP,0.7655172413793103,0.00034343679031386423,0.8100558659217877,0.030246151593810798
MMUDUD,0.8344827586206895,0.0002994735827622048,0.8579881656804734,0.03380319228362228
MMUDXD,0.8935960591133004,0.00032056417548498924,0.9038290293855743,0.03607709683449746
MMUDXA,0.8817733990147782,0.0003891373428658123,0.8942731277533039,0.03517924178811677
MMUDPI,0.5733990147783251,7.436375728412352e-05,0.7009668508287292,0.023939720463195067
MMUDPF,0.22463054187192116,2.678231927777287e-05,0.5632630410654828,0.008637415461159762
MMUDFD,0.9497536945812807,0.0005588511326518173,0.9521575984990619,0.037432402914490695
MMUDSF,0.6857142857142856,0.000159571000854293,0.7608695652173914,0.028240474962441104
MMUDSZ,0.883743842364532,0.00027403450806598207,0.8958517210944396,0.0360100879933428
MMUDAF,0.864039408866995,0.0002607174002928556,0.8803122289679098,0.03522904835760302
MMUDZF,0.9251231527093595,0.0003460947062867516,0.9303391384051329,0.03725411565849262
MMUSMU,0.6068965517241379,0.00017473564735520208,0.7178217821782178,0.02418860532153265
MMUSMX,0.8295566502463053,0.0003065909720415496,0.8543771043771043,0.03347368265518964
MMUSMP,0.6926108374384236,0.0001306567214496428,0.7648831951770911,0.02870403888396358
MMUSMZ,0.7753694581280788,0.0002263146738925773,0.8165728077232502,0.03159709013253598
MMUSUX,0.8541871921182266,0.000275562166555339,0.8727429062768701,0.034772791753632265
MMUSUF,0.8906403940886699,0.0003350722981377654,0.9014209591474245,0.03599284320861632
MMUSUZ,0.7054187192118226,0.0002633452450846883,0.7724505327245054,0.02814222636079902
MMUSPP,0.43448275862068964,9.432435432210922e-05,0.6387665198237885,0.017186905270503604
MMUSFI,0.6945812807881773,0.00015280272528233875,0.7660377358490567,0.028615518402128913
MMUSFZ,0.8807881773399014,0.0002882549076595788,0.8934859154929577,0.035756991668674985
MMUSDU,0.9034482758620689,0.0003958760255695257,0.9119496855345912,0.036143279155763354
MMUSAM,0.8827586206896552,0.0003735541453156256,0.8950617283950617,0.03544482490900547
MMUSAU,0.9142857142857143,0.00033529449934607326,0.9210526315789473,0.036895824506481725
MMUSZM,0.6374384236453201,8.227166341070648e-05,0.7339117859725235,0.0267149507063436
MMUSZD,0.8995073891625615,0.00033024662958451134,0.9086839749328559,0.03629557957823826
MMUAMZ,0.7241379310344827,0.00018025959498521645,0.7837837837837838,0.029726834058314017
MMUAUU,0.8886699507389162,0.00040486744575676266,0.899822695035461,0.03542980330863465
MMUAXX,0.8354679802955665,0.00026712164749693123,0.8587140439932318,0.034051867338086045
MMUAIS,0.8886699507389162,0.00029061484076040446,0.899822695035461,0.036095358967226564
MMUAFD,0.7960591133004925,0.00024031689634735267,0.8306055646481179,0.03244330311084267
MMUASP,0.8926108374384236,0.000293841047148615,0.9030249110320284,0.036245639777106195
MMUASF,0.8926108374384236,0.000293841047148615,0.9030249110320284,0.036245639777106195
MMUASZ,0.8817733990147782,0.00038036759572730646,0.8942731277533039,0.03527236813525887
MMUAAM,0.8157635467980295,0.000259240906268813,0.8444259567387687,0.033240767389165385
MMUZMS,0.7576354679802955,0.000253679832234629,0.8049167327517843,0.03069523589597885
MMUZUM,0.883743842364532,0.0002808785098335384,0.8958517210944396,0.03592079740751327
MMUZII,0.8354679802955665,0.00026712164749693123,0.8587140439932318,0.034051867338086045
MMUZFU,0.7369458128078817,0.00017198792462969016,0.7917316692667706,0.030305505259832555
MMUZFF,0.5123152709359605,0.00010895385756058075,0.6721854304635762,0.020612625646739352
MMUZFD,0.6482758620689655,0.00012119580709127917,0.7397959183673469,0.02679264729417197
MMUZSM,0.4009852216748768,6.970080327654062e-05,0.625385089340727,0.015905462475972645
MMUZSX,0.8463054187192117,0.00027199147250319387,0.8667805294619982,0.034301655951051405
MMUZSF,0.7182266009852216,0.00025861781704168777,0.7801691006917756,0.02869947837770174
MMUZAI,0.8541871921182266,0.0003142766843355039,0.8727429062768701,0.034460572599763685
MMUZAD,0.8068965517241379,0.00021192751953763038,0.838150289017341,0.03306194431941042
MMXMDP,0.7596059113300492,0.00021717034451248376,0.8061953931691819,0.030950822594860917
MMXMAI,0.6295566502463054,9.396818878551256e-05,0.7296908698777858,0.026240197694906625
MMXUIX,0.754679802955665,0.0001545966592117083,0.803006329113924,0.03122231816212314
MMXUII,0.92807881773399,0.00038162624166578323,0.9329044117647058,0.03719745148091096
MMXUPZ,0.9418719211822659,0.0004518301357205809,0.9450651769087524,0.03747911091823269
MMXUDA,0.6522167487684729,0.00011265319601851524,0.7419590643274854,0.027144415993893358
MMXUAZ,0.9044334975369458,0.00034576656496908937,0.9127697841726619,0.036456658282319726
MMXUZM,0.6108374384236452,8.339639791172164e-05,0.7198581560283688,0.025601412307621307
MMXXFU,0.2403940886699507,2.1630957053848208e-05,0.5683090705487122,0.00930455351885359
MMXXFD,0.754679802955665,0.0001888681861980065,0.803006329113924,0.031019776372248904
MMXXSX,0.7566502463054187,0.0002007133998367709,0.8042789223454834,0.030990261409325058
MMXIMI,0.8394088669950738,0.0002634582812136547,0.8616298811544991,0.034144552543821496
MMXIMP,0.9339901477832512,0.00040315750585938744,0.9380776340110906,0.03736874016003574
MMXIUZ,0.8679802955665024,0.0003402496742155792,0.8833768494342907,0.03483806344068894
MMXIIX,0.7852216748768472,0.0002865820209168123,0.8231954582319546,0.03161423809665914
MMXIPF,0.7399014778325123,0.00020622388693547725,0.7935887412040656,0.030150583612895774
MMXPMS,0.7211822660098521,0.00023231638594145289,0.7819722650231125,0.02902917126558107
MMXPXM,0.9211822660098521,0.0003574550638149556,0.9269406392694064,0.03703422636142409
FUZMZI,0.7743842364532019,0.00020266756721617034,0.8159163987138264,0.03167398000719186
FUZUXF,0.7241379310344827,0.0001406701811749658,0.7837837837837838,0.030130235297413304
FUZDUZ,0.870935960591133,0.00031455056126365835,0.8856893542757417,0.03516394224860934
FUZDFF,0.8935960591133004,0.00033881001585153167,0.9038290293855743,0.03598960263372761
FUZDDP,0.8364532019704433,0.00025114256101991633,0.859441151566469,0.0341346969304698
FUZDSP,0.3733990147783251,3.3970452091779304e-05,0.6147789218655361,0.015307434492926156
FUZDSA,0.6482758620689655,6.520794874194005e-05,0.7397959183673469,0.027521176173135722
FUZSUM,0.7280788177339901,0.00012515377666032305,0.7862122385747483,0.030251720995367343
FUZSUP,0.7280788177339901,0.00012515377666032305,0.7862122385747483,0.030251720995367343
FUZZZU,0.6413793103448275,0.00014216812196373298,0.7360406091370558,0.026115773030895073
FIMMMI,0.8305418719211822,0.000267937184095112,0.8550968828980623,0.0337796542952666
FIMMUX,0.8581280788177339,0.000301857459257608,0.8757549611734253,0.03473469673514879
FSMMMU,0.7852216748768472,0.0001632305959610546,0.8231954582319546,0.032588563216874755
FSMMMA,0.7852216748768472,0.0001632305959610546,0.8231954582319546,0.032588563216874755
DUMMMF,0.8344827586206895,0.0002504275219872156,0.8579881656804734,0.03401060256653921
DUMMMS,0.7201970443349753,9.348753516454788e-05,0.7813702848344881,0.030270544284065098
DXMMMD,0.7753694581280788,0.0001855809324274687,0.8165728077232502,0.03184097009496827
SXMMMU,0.7123152709359606,0.00023977006550960974,0.7765876052027544,0.02863328488935891
ADMMMS,0.722167487684729,0.00015301849635589594,0.7825751734772552,0.029631923175186085
ASMMUS,0.7448275862068965,0.00015698238295329945,0.7967032967032966,0.030688047944055438
MXMMMF,0.7369458128078817,0.00012600563988137195,0.7917316692667706,0.03063671691362216
MMAXSU,0.7655172413793103,0.00017823217772362803,0.8100558659217877,0.03154379188171184
MMAIMI,0.81871921182266,0.0002492945884110039,0.8465387823185988,0.03323218962618479
MMAPMS,0.7399014778325123,0.00014712684150651296,0.7935887412040656,0.030525075208300327
MMAPUX,0.7113300492610837,9.832836018005804e-05,0.7759938837920489,0.02988129147607521
MMAPSS,0.6610837438423645,0.00016873342415061089,0.7468727005150846,0.02680687725138926
MMAFUF,0.6866995073891625,0.00018357003292185042,0.7614403600900225,0.027871623988254313
MMADII,0.24532019704433497,1.665894308317611e-05,0.5699045480067377,0.009760104908264193
MMASMP,0.8975369458128079,0.00035798157579733706,0.9070598748882931,0.03612799308903556
MMASUX,0.8354679802955665,0.00022499474224721883,0.8587140439932318,0.03421736157325884
MMAAFM,0.47487684729064034,7.857249491455032e-05,0.6556847545219638,0.01915139058386213
MMZMUS,0.5911330049261083,5.4410485224486285e-05,0.7097902097902098,0.024973261819816742
MMZMDX,0.6571428571428571,0.0002359542937844186,0.7446808510638298,0.02605572323939193
MMZMAD,0.8453201970443349,0.00027298663107863696,0.8660409556313993,0.034299074179651556
MMZMZA,0.49950738916256154,9.559761857280357e-05,0.6664478003939593,0.020065648287973612
MMZUUZ,0.8108374384236453,0.00020888450660627275,0.8409279204639603,0.033254063347755256
MMZUDX,0.6955665024630542,0.00010865464880984838,0.7666163141993958,0.02895553678568421
MMZUZZ,0.7280788177339901,0.0003074361999053746,0.7862122385747483,0.028841338572562616
MMZXXI,0.7763546798029556,0.0001966798937992232,0.8172302737520128,0.03177517636962464
MMZXIP,0.754679802955665,0.00016292828220015792,0.803006329113924,0.031111871243007086
MMZXDF,0.6857142857142856,9.866121176335517e-05,0.7608695652173914,0.028721300100894052
MMZFMS,0.81871921182266,0.0001929431693363763,0.8465387823185988,0.03372818252099857
MMZSZF,0.7743842364532019,0.00019789089272984135,0.8159163987138264,0.031708515442347734
MFMMUA,0.825615763546798,0.00027272319234040407,0.8515100671140939,0.033468005351342284
MSMMMU,0.7014778325123152,0.00011262486332843198,0.7701062215477997,0.02929252609771643
MSMMIX,0.8009852216748767,0.00020419646992583186,0.8340180772391126,0.032887740630045466
MZMMMP,0.825615763546798,0.00028584774368217556,0.8515100671140939,0.033473182644850656
MZMMUA,0.6078817733990147,0.0002078913854169565,0.7183297947629158,0.024055883756786616
MZMMXM,0.5753694581280788,6.0530536041601215e-05,0.7019363762102351,0.024110571872868428
UUMMMI,0.8758620689655172,0.0003119588302281499,0.8895705521472392,0.03545316713099866
UUMMXX,0.6581280788177339,6.793708667837751e-05,0.7452276064610867,0.027916350895867713
UUMMXI,0.6266009852216748,8.899991638441808e-05,0.7281205164992827,0.026266014589430023
UDMXXX,0.6374384236453201,0.00010373779685450018,0.7339117859725235,0.026673424552288463
UDMDXS,0.7566502463054187,0.00016506225026430394,0.8042789223454834,0.031170808330273064
UDMDPF,0.8778325123152708,0.0003302093401218497,0.8911325724319579,0.03532796563411426
UDMZUM,0.6926108374384236,0.00013168718885207988,0.7648831951770911,0.02865525767378173
UDUMIX,0.23546798029556648,3.553968118870519e-05,0.5667225013958682,0.008968054944859723
UDUMID,0.49064039408866994,5.604734410537536e-05,0.662532637075718,0.020490086732723203
UDUUXX,0.5142857142857142,3.687083811378135e-05,0.6730769230769231,0.021770881238246758
UDUUIX,0.7359605911330048,0.00017448265935329546,0.7911145752143414,0.03024147149069733
UDUDUD,0.5970443349753695,4.57381924676922e-05,0.7127808988764045,0.0253062109729823
UDUAUA,0.8591133004926108,0.0002781602338080689,0.8765112262521589,0.03484791529375186
UDUZMI,0.49162561576354674,6.707727884050121e-05,0.6629653821032006,0.020171410382132826
UDXDMF,0.7300492610837438,9.926887449416689e-05,0.7874321179208689,0.03067618176456465
UDIMMU,0.6246305418719211,8.357521054847567e-05,0.7270773638968482,0.026169422293826853
UDPXMF,0.7448275862068965,0.00014668692164382813,0.7967032967032966,0.030946067596266672
UDFFUZ,0.5773399014778324,9.07321834977951e-05,0.7029085872576177,0.024032725395555975
UDSFMA,0.7280788177339901,0.00019905682213570795,0.7862122385747483,0.029828062795209595
UDAUMX,0.6049261083743842,0.00016156028488725085,0.7168079096045198,0.024339422664233997
UDAXMP,0.2778325123152709,5.104737442280564e-05,0.5806636155606407,0.01063642468146396
UDZUMF,0.8039408866995074,0.00022215842176098182,0.8360790774299836,0.033004822220460556
UAMMUX,0.7339901477832512,0.00014152143633741748,0.7898832684824902,0.030434929142146145
XMMMMA,0.7763546798029556,0.0001387915563205089,0.8172302737520128,0.03232793893548648
XIIMMS,0.6916256157635468,8.833363376863547e-05,0.7643072289156626,0.02909440648056303
XIIMMA,0.7389162561576355,0.0001395843035381986,0.79296875,0.030726095609098288
